NOMBRE;APELLIDOS;LEGISLATURA;FECHAINICIOLEGISLATURA;FECHAFINLEGISLATURA;LEGISLATURAACTUAL
Manuel;Cruz Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
Juan;Cruz Sagredo;Leg. II;18/11/1982;15/07/1986;N
Gabriel;Cruz Santana;Leg. XV;17/08/2023;;S
Raquel de la;Cruz Valentín;Leg. VII;05/04/2000;02/04/2004;N
Raquel de la;Cruz Valentín;Leg. VIII;02/04/2004;01/04/2008;N
María Soledad;Cruz-Guzmán García;Leg. XIII;21/05/2019;03/12/2019;N
María Soledad;Cruz-Guzmán García;Leg. XIV;03/12/2019;17/08/2023;N
María Soledad;Cruz-Guzmán García;Leg. XV;17/08/2023;;S
Sabino;Cuadra Lasarte;Leg. X;13/12/2011;13/01/2016;N
Jesús;Cuadrado Bausela;Leg. VII;05/04/2000;02/04/2004;N
Jesús;Cuadrado Bausela;Leg. VIII;02/04/2004;01/04/2008;N
Jesús;Cuadrado Bausela;Leg. IX;01/04/2008;13/12/2011;N
Alberto Javier;Cuartas Galván;Leg. I;23/03/1979;18/11/1982;N
Juan;Cuatrecasas Asua;Leg. XIII;21/05/2019;03/12/2019;N
Juan;Cuatrecasas Asua;Leg. XIV;03/12/2019;17/08/2023;N
Llibert;Cuatrecasas i Membrado;Leg. I;23/03/1979;18/11/1982;N
Llibert;Cuatrecasas i Membrado;Leg. II;18/11/1982;15/07/1986;N
Llibert;Cuatrecasas i Membrado;Leg. III;15/07/1986;21/11/1989;N
Llibert;Cuatrecasas i Membrado;Leg. IV;21/11/1989;29/06/1993;N
Carmen Rocío;Cuello Pérez;Leg. XI;13/01/2016;19/07/2016;N
Carmen Rocío;Cuello Pérez;Leg. XII;19/07/2016;21/05/2019;N
Juan;Cuenca Doblado;Leg. I;23/03/1979;18/11/1982;N
María Eugenia;Cuenca i Valero;Leg. III;15/07/1986;21/11/1989;N
María Eugenia;Cuenca i Valero;Leg. IV;21/11/1989;29/06/1993;N
José;Cuenca Rico;Leg. V;29/06/1993;27/03/1996;N
José Angel;Cuerda Montoya;Leg. Const.;14/07/1977;23/03/1979;N
José Angel;Cuerda Montoya;Leg. I;23/03/1979;18/11/1982;N
Alvaro;Cuesta Martínez;Leg. II;18/11/1982;15/07/1986;N
Álvaro;Cuesta Martínez;Leg. III;15/07/1986;21/11/1989;N
Alvaro;Cuesta Martínez;Leg. IV;21/11/1989;29/06/1993;N
Alvaro;Cuesta Martínez;Leg. V;29/06/1993;27/03/1996;N
Alvaro;Cuesta Martínez;Leg. VI;27/03/1996;05/04/2000;N
Álvaro;Cuesta Martínez;Leg. VII;05/04/2000;02/04/2004;N
Álvaro;Cuesta Martínez;Leg. VIII;02/04/2004;01/04/2008;N
Álvaro;Cuesta Martínez;Leg. IX;01/04/2008;13/12/2011;N
María del Socorro;Cuesta Rodríguez;Leg. XV;17/08/2023;;S
Antonio;Cuevas Delgado;Leg. III;15/07/1986;21/11/1989;N
Antonio;Cuevas Delgado;Leg. IV;21/11/1989;29/06/1993;N
Antonio;Cuevas Delgado;Leg. V;29/06/1993;27/03/1996;N
Antonio;Cuevas Delgado;Leg. VI;27/03/1996;05/04/2000;N
Antonio;Cuevas Delgado;Leg. VII;05/04/2000;02/04/2004;N
Antonio;Cuevas Delgado;Leg. VIII;02/04/2004;01/04/2008;N
Antonio;Cuevas Delgado;Leg. IX;01/04/2008;13/12/2011;N
Justo de las;Cuevas González;Leg. Const.;14/07/1977;23/03/1979;N
Justo de las;Cuevas González;Leg. I;23/03/1979;18/11/1982;N
Raúl;Cuevas Larrosa;Leg. XV;17/08/2023;;S
Josep María;Cullell i Nadal;Leg. I;23/03/1979;18/11/1982;N
Josep María;Cullell i Nadal;Leg. IV;21/11/1989;29/06/1993;N
Teresa;Cunillera i Mestres;Leg. II;18/11/1982;15/07/1986;N
Teresa;Cunillera i Mestres;Leg. VI;27/03/1996;05/04/2000;N
Teresa;Cunillera i Mestres;Leg. VII;05/04/2000;02/04/2004;N
Teresa;Cunillera i Mestres;Leg. VIII;02/04/2004;01/04/2008;N
Teresa;Cunillera i Mestres;Leg. IX;01/04/2008;13/12/2011;N
Teresa;Cunillera i Mestres;Leg. X;13/12/2011;13/01/2016;N
Enrique Federico;Curiel Alonso;Leg. III;15/07/1986;21/11/1989;N
Enrique Federico;Curiel Alonso;Leg. V;29/06/1993;27/03/1996;N
Jaime;Custodi Torres;Leg. II;18/11/1982;15/07/1986;N
María  Concepción;Dancausa Treviño;Leg. VII;05/04/2000;02/04/2004;N
Carlos Alberto;Dávila Sánchez;Leg. II;18/11/1982;15/07/1986;N
Carlos Alberto;Dávila Sánchez;Leg. III;15/07/1986;21/11/1989;N
Carlos Alberto;Dávila Sánchez;Leg. IV;21/11/1989;29/06/1993;N
Carlos Alberto;Dávila Sánchez;Leg. V;29/06/1993;27/03/1996;N
Carlos Alberto;Dávila Sánchez;Leg. VI;27/03/1996;05/04/2000;N
Javier;De Andrés Guerra;Leg. XV;17/08/2023;;S
Bienvenido;De Arriba Sánchez;Leg. XII;19/07/2016;21/05/2019;N
Avelino;De Barrionuevo Gener;Leg. XII;19/07/2016;21/05/2019;N
María Dolores;De Cospedal García;Leg. XI;13/01/2016;19/07/2016;N
María Dolores;De Cospedal García;Leg. XII;19/07/2016;21/05/2019;N
María del Rocío;De Frutos Madrazo;Leg. XI;13/01/2016;19/07/2016;N
María del Rocío;De Frutos Madrazo;Leg. XII;19/07/2016;21/05/2019;N
Loly;De Juan de Miguel;Leg. X;13/12/2011;13/01/2016;N
María Asunción Jacoba Pía;De la Concha García-Mauriño;Leg. XI;13/01/2016;19/07/2016;N
María Asunción Jacoba Pía;De la Concha García-Mauriño;Leg. XII;19/07/2016;21/05/2019;N
Salvador Antonio;De la Encina Ortega;Leg. X;13/12/2011;13/01/2016;N
Salvador Antonio;De la Encina Ortega;Leg. XI;13/01/2016;19/07/2016;N
Salvador Antonio;De la Encina Ortega;Leg. XII;19/07/2016;21/05/2019;N
Olvido;De la Rosa Baena;Leg. XV;17/08/2023;;S
Francisco;De la Torre Díaz;Leg. XI;13/01/2016;19/07/2016;N
Francisco;De la Torre Díaz;Leg. XII;19/07/2016;21/05/2019;N
Francisco;De la Torre Díaz;Leg. XIII;21/05/2019;03/12/2019;N
Félix;De las Cuevas Cortés;Leg. XV;17/08/2023;;S
Patricia;De las Heras Fernández;Leg. XIV;03/12/2019;17/08/2023;N
Ascensión;De las Heras Ladera;Leg. X;13/12/2011;13/01/2016;N
Jaime Miguel;De los Santos González;Leg. XV;17/08/2023;;S
Llanos;De Luna Tobarra;Leg. XIV;03/12/2019;17/08/2023;N
Llanos;De Luna Tobarra;Leg. XV;17/08/2023;;S
Rocío;De Meer Méndez;Leg. XIII;21/05/2019;03/12/2019;N
Rocío;De Meer Méndez;Leg. XIV;03/12/2019;17/08/2023;N
Rocío;De Meer Méndez;Leg. XV;17/08/2023;;S
Fernando;De Páramo Gómez;Leg. XIII;21/05/2019;03/12/2019;N
Marcos;De Quinto Romero;Leg. XIII;21/05/2019;03/12/2019;N
Marcos;De Quinto Romero;Leg. XIV;03/12/2019;17/08/2023;N
Fernando;De Rosa Torner;Leg. XV;17/08/2023;;S
Sergio;Del Campo Estaún;Leg. XI;13/01/2016;19/07/2016;N
Sergio;Del Campo Estaún;Leg. XII;19/07/2016;21/05/2019;N
Sergio;Del Campo Estaún;Leg. XIII;21/05/2019;03/12/2019;N
María Luisa;Del Moral Leal;Leg. XIII;21/05/2019;03/12/2019;N
María Luisa;Del Moral Leal;Leg. XV;17/08/2023;;S
María de la Paz;Del Moral Milla;Leg. XI;13/01/2016;19/07/2016;N
Juan Manuel;Del Olmo Ibáñez;Leg. XI;13/01/2016;19/07/2016;N
Juan Manuel;Del Olmo Ibáñez;Leg. XII;19/07/2016;21/05/2019;N
Emilio;Del Río Sanz;Leg. XI;13/01/2016;19/07/2016;N
Emilio;Del Río Sanz;Leg. XII;19/07/2016;21/05/2019;N
Julio;Del Valle de Iscar;Leg. XIV;03/12/2019;17/08/2023;N
Emilio Jesús;Del Valle Rodríguez;Leg. XIV;03/12/2019;17/08/2023;N
Emilio Jesús;Del Valle Rodríguez;Leg. XV;17/08/2023;;S
Celso Luis;Delgado Arce;Leg. VII;05/04/2000;02/04/2004;N
Celso Luis;Delgado Arce;Leg. VIII;02/04/2004;01/04/2008;N
Celso Luis;Delgado Arce;Leg. IX;01/04/2008;13/12/2011;N
Celso Luis;Delgado Arce;Leg. X;13/12/2011;13/01/2016;N
Celso Luis;Delgado Arce;Leg. XI;13/01/2016;19/07/2016;N
Celso Luis;Delgado Arce;Leg. XII;19/07/2016;21/05/2019;N
Celso Luis;Delgado Arce;Leg. XIII;21/05/2019;03/12/2019;N
Celso Luis;Delgado Arce;Leg. XIV;03/12/2019;17/08/2023;N
Celso Luis;Delgado Arce;Leg. XV;17/08/2023;;S
Antonio José;Delgado de Jesús;Leg. Const.;14/07/1977;23/03/1979;N
Antonio José;Delgado de Jesús;Leg. I;23/03/1979;18/11/1982;N
Dolores;Delgado García;Leg. XIII;21/05/2019;03/12/2019;N
Dolores;Delgado García;Leg. XIV;03/12/2019;17/08/2023;N
Juan Antonio;Delgado Ramos;Leg. XI;13/01/2016;19/07/2016;N
Juan Antonio;Delgado Ramos;Leg. XII;19/07/2016;21/05/2019;N
Juan Antonio;Delgado Ramos;Leg. XIII;21/05/2019;03/12/2019;N
Juan Antonio;Delgado Ramos;Leg. XIV;03/12/2019;17/08/2023;N
Juan Francisco;Delgado Ruiz;Leg. Const.;14/07/1977;23/03/1979;N
Jimena;Delgado-Taramona Hernández;Leg. XV;17/08/2023;;S
Lorenzo;Díaz Aguilar;Leg. III;15/07/1986;21/11/1989;N
Lorenzo;Díaz Aguilar;Leg. IV;21/11/1989;29/06/1993;N
José Gabriel;Díaz Berbel;Leg. III;15/07/1986;21/11/1989;N
José Gabriel;Díaz Berbel;Leg. IV;21/11/1989;29/06/1993;N
José Gabriel;Díaz Berbel;Leg. V;29/06/1993;27/03/1996;N
Blas;Díaz Bonillo;Leg. II;18/11/1982;15/07/1986;N
Máximo Ramón;Díaz Cano del Rey;Leg. VI;27/03/1996;05/04/2000;N
Agustín;Díaz de Mera y García Consuegra;Leg. V;29/06/1993;27/03/1996;N
Honorio;Díaz Díaz;Leg. Const.;14/07/1977;23/03/1979;N
Manuel Ceferino;Díaz Díaz;Leg. VII;05/04/2000;02/04/2004;N
Manuel Ceferino;Díaz Díaz;Leg. VIII;02/04/2004;01/04/2008;N
Manuel Ceferino;Díaz Díaz;Leg. IX;01/04/2008;13/12/2011;N
Jesús;Díaz Fornas;Leg. III;15/07/1986;21/11/1989;N
Jesús;Díaz Fornas;Leg. IV;21/11/1989;29/06/1993;N
Jesús;Díaz Fornás;Leg. V;29/06/1993;27/03/1996;N
Antonio;Díaz Fuentes;Leg. Const.;14/07/1977;23/03/1979;N
Antonio;Díaz Fuentes;Leg. I;23/03/1979;18/11/1982;N
Antonio;Díaz Fuentes;Leg. II;18/11/1982;15/07/1986;N
Guillermo;Díaz Gómez;Leg. XII;19/07/2016;21/05/2019;N
Guillermo;Díaz Gómez;Leg. XIII;21/05/2019;03/12/2019;N
Guillermo;Díaz Gómez;Leg. XIV;03/12/2019;17/08/2023;N
Raúl;Díaz Marín;Leg. XV;17/08/2023;;S
Susana;Díaz Pacheco;Leg. VIII;02/04/2004;01/04/2008;N
Yolanda;Díaz Pérez;Leg. XI;13/01/2016;19/07/2016;N
Yolanda;Díaz Pérez;Leg. XII;19/07/2016;21/05/2019;N
Yolanda;Díaz Pérez;Leg. XIII;21/05/2019;03/12/2019;N
Yolanda;Díaz Pérez;Leg. XIV;03/12/2019;17/08/2023;N
Yolanda;Díaz Pérez;Leg. XV;17/08/2023;;S
Ciriaco;Díaz Porras;Leg. I;23/03/1979;18/11/1982;N
Diego;Díaz Pozas;Leg. II;18/11/1982;15/07/1986;N
Diego;Díaz Pozas;Leg. III;15/07/1986;21/11/1989;N
Diego;Díaz Pozas;Leg. IV;21/11/1989;29/06/1993;N
José Carlos;Díaz Rodríguez;Leg. XIV;03/12/2019;17/08/2023;N
Ángel;Díaz Sol;Leg. I;23/03/1979;18/11/1982;N
Ángel;Díaz Sol;Leg. II;18/11/1982;15/07/1986;N
Ángel;Díaz Sol;Leg. III;15/07/1986;21/11/1989;N
Ángel;Díaz Sol;Leg. IV;21/11/1989;29/06/1993;N
Ángel;Díaz Sol;Leg. V;29/06/1993;27/03/1996;N
Angel;Díaz Sol;Leg. VI;27/03/1996;05/04/2000;N
Juan;Díaz Torres;Leg. Const.;14/07/1977;23/03/1979;N
José Juan;Díaz Trillo;Leg. XI;13/01/2016;19/07/2016;N
José Juan;Díaz Trillo;Leg. XII;19/07/2016;21/05/2019;N
María del Carmen;Díaz Villanueva;Leg. V;29/06/1993;27/03/1996;N
Máximo Ramón;Díaz-Cano del Rey;Leg. VII;05/04/2000;02/04/2004;N
Máximo Ramón;Díaz-Cano del Rey;Leg. VIII;02/04/2004;01/04/2008;N
Manuel Lucio;Díaz-Marta y Pinilla;Leg. Const.;14/07/1977;23/03/1979;N
Manuel;Díaz-Pines Muñoz;Leg. I;23/03/1979;18/11/1982;N
Manuel;Díaz-Pines Muñoz;Leg. II;18/11/1982;15/07/1986;N
Nicolás;Díaz-Saavedra Morales;Leg. Const.;14/07/1977;23/03/1979;N
Clementina;Díez de Baldeón García;Leg. VI;27/03/1996;05/04/2000;N
Clementina;Díez de Baldeón García;Leg. VII;05/04/2000;02/04/2004;N
Clementina;Díez de Baldeón García;Leg. VIII;02/04/2004;01/04/2008;N
Clementina;Díez de Baldeón García;Leg. IX;01/04/2008;13/12/2011;N
María Isabel;Díez de la Lastra Barbadillo;Leg. VI;27/03/1996;05/04/2000;N
María Isabel;Díez de la Lastra Barbadillo;Leg. VII;05/04/2000;02/04/2004;N
Rosa María;Díez González;Leg. IX;01/04/2008;13/12/2011;N
Rosa María;Díez González;Leg. X;13/12/2011;13/01/2016;N
Rosa Isabel;Díez López;Leg. VI;27/03/1996;05/04/2000;N
Rafael;Díez Usabiaga;Leg. IV;21/11/1989;29/06/1993;N
Rafael;Díez Usabiaga;Leg. V;29/06/1993;27/03/1996;N
Luc Andre;Diouf Dioh;Leg. XIII;21/05/2019;03/12/2019;N
Luc Andre;Diouf Dioh;Leg. XIV;03/12/2019;17/08/2023;N
Luc Andre;Diouf Dioh;Leg. XV;17/08/2023;;S
Francesc Xavier;Domènech Sampere;Leg. XI;13/01/2016;19/07/2016;N
Francesc Xavier;Domènech Sampere;Leg. XII;19/07/2016;21/05/2019;N
Marta;Domínguez Álvarez;Leg. XI;13/01/2016;19/07/2016;N
Antonio;Domínguez García;Leg. Const.;14/07/1977;23/03/1979;N
Manuel;Domínguez González;Leg. IX;01/04/2008;13/12/2011;N
María Victoria;Domínguez Paredes;Leg. XIII;21/05/2019;03/12/2019;N
José;Donadeu Cadafalch;Leg. II;18/11/1982;15/07/1986;N
Sara;Dueñas Herranz;Leg. IX;01/04/2008;13/12/2011;N
María del Carmen;Dueñas Martínez;Leg. XI;13/01/2016;19/07/2016;N
María del Carmen;Dueñas Martínez;Leg. XII;19/07/2016;21/05/2019;N
Pedro;Duque Duque;Leg. XIII;21/05/2019;03/12/2019;N
Pedro;Duque Duque;Leg. XIV;03/12/2019;17/08/2023;N
José Francisco;Duque Morán;Leg. XIV;03/12/2019;17/08/2023;N
María del Carmen;Duque Palacios;Leg. X;13/12/2011;13/01/2016;N
Emilio;Durán Corsanego;Leg. II;18/11/1982;15/07/1986;N
Josep Antoni;Duran i Lleida;Leg. II;18/11/1982;15/07/1986;N
Josep Antoni;Duran i Lleida;Leg. III;15/07/1986;21/11/1989;N
Josep Antoni;Duran i Lleida;Leg. IV;21/11/1989;29/06/1993;N
Josep Antoni;Duran i Lleida;Leg. VIII;02/04/2004;01/04/2008;N
Josep Antoni;Duran i Lleida;Leg. IX;01/04/2008;13/12/2011;N
Josep Antoni;Duran i Lleida;Leg. X;13/12/2011;13/01/2016;N
Alberto;Durán Núñez;Leg. II;18/11/1982;15/07/1986;N
Alberto;Durán Núñez;Leg. III;15/07/1986;21/11/1989;N
Alberto;Durán Núñez;Leg. IV;21/11/1989;29/06/1993;N
Alberto;Durán Núñez;Leg. V;29/06/1993;27/03/1996;N
Miguel;Durán Pastor;Leg. Const.;14/07/1977;23/03/1979;N
Miguel;Durán Pastor;Leg. I;23/03/1979;18/11/1982;N
José Carlos;Durán Peralta;Leg. XIII;21/05/2019;03/12/2019;N
José Carlos;Durán Peralta;Leg. XIV;03/12/2019;17/08/2023;N
Eva;Durán Ramos;Leg. IX;01/04/2008;13/12/2011;N
Eva;Durán Ramos;Leg. X;13/12/2011;13/01/2016;N
Inmaculada;Durán Sánchez;Leg. VII;05/04/2000;02/04/2004;N
José Ignacio;Echániz Salgado;Leg. VI;27/03/1996;05/04/2000;N
José Ignacio;Echániz Salgado;Leg. VIII;02/04/2004;01/04/2008;N
José Ignacio;Echániz Salgado;Leg. IX;01/04/2008;13/12/2011;N
José Ignacio;Echániz Salgado;Leg. XI;13/01/2016;19/07/2016;N
José Ignacio;Echániz Salgado;Leg. XII;19/07/2016;21/05/2019;N
José Ignacio;Echániz Salgado;Leg. XIII;21/05/2019;03/12/2019;N
José Ignacio;Echániz Salgado;Leg. XIV;03/12/2019;17/08/2023;N
Ricardo;Echanove Tuero;Leg. Const.;14/07/1977;23/03/1979;N
Gabriel;Echávarri Fernández;Leg. X;13/12/2011;13/01/2016;N
Ignacio María;Echeberría Monteberría;Leg. II;18/11/1982;15/07/1986;N
Ignacio María;Echeberría Monteberría;Leg. III;15/07/1986;21/11/1989;N
Pablo;Echenique Robba;Leg. XIII;21/05/2019;03/12/2019;N
Pablo;Echenique Robba;Leg. XIV;03/12/2019;17/08/2023;N
Juan;Echevarría Gangoiti;Leg. Const.;14/07/1977;23/03/1979;N
Mario;Edo Gil;Leg. VII;05/04/2000;02/04/2004;N
Enrique;Egea Ibáñez;Leg. I;23/03/1979;18/11/1982;N
Juan Manuel;Eguiagaray Ucelay;Leg. VI;27/03/1996;05/04/2000;N
Juan Manuel;Eguiagaray Ucelay;Leg. VII;05/04/2000;02/04/2004;N
Andrés;Eguíbar Rivas;Leg. Const.;14/07/1977;23/03/1979;N
Manuel;Eiris Cabeza;Leg. III;15/07/1986;21/11/1989;N
Manuel;Eiris Cabeza;Leg. IV;21/11/1989;29/06/1993;N
José María;Eiros Bouza;Leg. XI;13/01/2016;19/07/2016;N
Mª Remedios;Elías Cordón;Leg. VIII;02/04/2004;01/04/2008;N
Mª Remedios;Elías Cordón;Leg. IX;01/04/2008;13/12/2011;N
Jesús María;Elio Oficialdegui;Leg. II;18/11/1982;15/07/1986;N
María Gloria;Elizo Serrano;Leg. XI;13/01/2016;19/07/2016;N
María Gloria;Elizo Serrano;Leg. XII;19/07/2016;21/05/2019;N
María Gloria;Elizo Serrano;Leg. XIII;21/05/2019;03/12/2019;N
María Gloria;Elizo Serrano;Leg. XIV;03/12/2019;17/08/2023;N
Juan Julián;Elola Ramón;Leg. VIII;02/04/2004;01/04/2008;N
Juan Julián;Elola Ramón;Leg. IX;01/04/2008;13/12/2011;N
Gabriel;Elorriaga Fernández;Leg. II;18/11/1982;15/07/1986;N
Gabriel;Elorriaga Fernández;Leg. III;15/07/1986;21/11/1989;N
Gabriel;Elorriaga Fernández;Leg. IV;21/11/1989;29/06/1993;N
Gabriel;Elorriaga Fernández;Leg. V;29/06/1993;27/03/1996;N
Gabriel;Elorriaga Pisarik;Leg. VIII;02/04/2004;01/04/2008;N
Gabriel;Elorriaga Pisarik;Leg. IX;01/04/2008;13/12/2011;N
Gabriel;Elorriaga Pisarik;Leg. X;13/12/2011;13/01/2016;N
Gabriel;Elorriaga Pisarik;Leg. XIV;03/12/2019;17/08/2023;N
Jesús María;Elorriaga Zarandona;Leg. Const.;14/07/1977;23/03/1979;N
Jesús María;Elorriaga Zarandona;Leg. I;23/03/1979;18/11/1982;N
Odón;Elorza González;Leg. X;13/12/2011;13/01/2016;N
Odón;Elorza González;Leg. XI;13/01/2016;19/07/2016;N
Odón;Elorza González;Leg. XII;19/07/2016;21/05/2019;N
Odón;Elorza González;Leg. XIII;21/05/2019;03/12/2019;N
Odón;Elorza González;Leg. XIV;03/12/2019;17/08/2023;N
Onintza;Enbeita Maguregi;Leg. X;13/12/2011;13/01/2016;N
Onintza;Enbeita Maguregi;Leg. XI;13/01/2016;19/07/2016;N
Salvador de la;Encina Ortega;Leg. VI;27/03/1996;05/04/2000;N
Salvador de la;Encina Ortega;Leg. VII;05/04/2000;02/04/2004;N
Salvador de la;Encina Ortega;Leg. VIII;02/04/2004;01/04/2008;N
Salvador de la;Encina Ortega;Leg. IX;01/04/2008;13/12/2011;N
Antonio;Erias Rey;Leg. VIII;02/04/2004;01/04/2008;N
Antonio;Erias Rey;Leg. IX;01/04/2008;13/12/2011;N
Antonio;Erias Rey;Leg. X;13/12/2011;13/01/2016;N
Francesc Xavier;Eritja Ciuró;Leg. XI;13/01/2016;19/07/2016;N
Francesc Xavier;Eritja Ciuró;Leg. XII;19/07/2016;21/05/2019;N
Francesc Xavier;Eritja Ciuró;Leg. XIII;21/05/2019;03/12/2019;N
Francesc Xavier;Eritja Ciuró;Leg. XIV;03/12/2019;17/08/2023;N
Josu Iñaki;Erkoreka Gervasio;Leg. VII;05/04/2000;02/04/2004;N
Josu Iñaki;Erkoreka Gervasio;Leg. VIII;02/04/2004;01/04/2008;N
Josu Iñaki;Erkoreka Gervasio;Leg. IX;01/04/2008;13/12/2011;N
Josu Iñaki;Erkoreka Gervasio;Leg. X;13/12/2011;13/01/2016;N
Íñigo;Errejón Galván;Leg. XI;13/01/2016;19/07/2016;N
Íñigo;Errejón Galván;Leg. XII;19/07/2016;21/05/2019;N
Íñigo;Errejón Galván;Leg. XIV;03/12/2019;17/08/2023;N
Íñigo;Errejón Galván;Leg. XV;17/08/2023;;S
Xabier Mikel;Errekondo Saltsamendi;Leg. X;13/12/2011;13/01/2016;N
José Antonio;Escartín Ipiens;Leg. I;23/03/1979;18/11/1982;N
Conrado;Escobar Las Heras;Leg. X;13/12/2011;13/01/2016;N
Luis;Escribano Reinosa;Leg. II;18/11/1982;15/07/1986;N
Luis;Escribano Reinosa;Leg. III;15/07/1986;21/11/1989;N
Luis;Escribano Reinosa;Leg. IV;21/11/1989;29/06/1993;N
Arturo;Escuder Croft;Leg. II;18/11/1982;15/07/1986;N
Beatriz Marta;Escudero Berzal;Leg. X;13/12/2011;13/01/2016;N
Beatriz Marta;Escudero Berzal;Leg. XI;13/01/2016;19/07/2016;N
Beatriz Marta;Escudero Berzal;Leg. XII;19/07/2016;21/05/2019;N
Beatriz Marta;Escudero Berzal;Leg. XIII;21/05/2019;03/12/2019;N
María;Escudero Sánchez;Leg. VIII;02/04/2004;01/04/2008;N
Manuel María;Escudero Zamora;Leg. VII;05/04/2000;02/04/2004;N
José María;Escuin Monfort;Leg. III;15/07/1986;21/11/1989;N
José María;Escuin Monfort;Leg. IV;21/11/1989;29/06/1993;N
Angel;Escuredo Franco;Leg. V;29/06/1993;27/03/1996;N
Angel;Escuredo Franco;Leg. VI;27/03/1996;05/04/2000;N
Ángel;Escuredo Franco;Leg. VII;05/04/2000;02/04/2004;N
Rafael;Escuredo Rodríguez;Leg. Const.;14/07/1977;23/03/1979;N
Rafael;Escuredo Rodríguez;Leg. I;23/03/1979;18/11/1982;N
Ignacio;Esnaola Etcheberry;Leg. II;18/11/1982;15/07/1986;N
Ignacio;Esnaola Etcheberry;Leg. III;15/07/1986;21/11/1989;N
Ignacio;Esnaola Etcheberry;Leg. IV;21/11/1989;29/06/1993;N
Julio Francisco de;España Moya;Leg. V;29/06/1993;27/03/1996;N
Carolina;España Reina;Leg. X;13/12/2011;13/01/2016;N
Carolina;España Reina;Leg. XI;13/01/2016;19/07/2016;N
Carolina;España Reina;Leg. XII;19/07/2016;21/05/2019;N
Carolina;España Reina;Leg. XIII;21/05/2019;03/12/2019;N
Carolina;España Reina;Leg. XIV;03/12/2019;17/08/2023;N
Ramón;Espasa Oliver;Leg. III;15/07/1986;21/11/1989;N
Ramón;Espasa Oliver;Leg. IV;21/11/1989;29/06/1993;N
Ramón;Espasa Oliver;Leg. V;29/06/1993;27/03/1996;N
José María;Espejo-Saavedra Conesa;Leg. XIII;21/05/2019;03/12/2019;N
José María;Espejo-Saavedra Conesa;Leg. XIV;03/12/2019;17/08/2023;N
Jesús;Esperabé de Arteaga González;Leg. Const.;14/07/1977;23/03/1979;N
Jesús;Esperabé de Arteaga González;Leg. I;23/03/1979;18/11/1982;N
José;Espinet Chancho;Leg. Const.;14/07/1977;23/03/1979;N
Iván;Espinosa de los Monteros de Simón;Leg. XIII;21/05/2019;03/12/2019;N
Iván;Espinosa de los Monteros de Simón;Leg. XIV;03/12/2019;17/08/2023;N
Rosalía de los Ángeles;Espinosa López;Leg. VII;05/04/2000;02/04/2004;N
María Elena;Espinosa Mangana;Leg. IX;01/04/2008;13/12/2011;N
Mª Rosa;Estarás Ferragut;Leg. VII;05/04/2000;02/04/2004;N
Aitor;Esteban Bravo;Leg. VIII;02/04/2004;01/04/2008;N
Aitor;Esteban Bravo;Leg. IX;01/04/2008;13/12/2011;N
Aitor;Esteban Bravo;Leg. X;13/12/2011;13/01/2016;N
Aitor;Esteban Bravo;Leg. XI;13/01/2016;19/07/2016;N
Aitor;Esteban Bravo;Leg. XII;19/07/2016;21/05/2019;N
Aitor;Esteban Bravo;Leg. XIII;21/05/2019;03/12/2019;N
Aitor;Esteban Bravo;Leg. XIV;03/12/2019;17/08/2023;N
Aitor;Esteban Bravo;Leg. XV;17/08/2023;;S
Cristina Alicia;Esteban Calonje;Leg. XIII;21/05/2019;03/12/2019;N
Cristina Alicia;Esteban Calonje;Leg. XIV;03/12/2019;17/08/2023;N
Agustín;Esteban Gómez;Leg. IV;21/11/1989;29/06/1993;N
Joaquín;Esteban Mompeán;Leg. Const.;14/07/1977;23/03/1979;N
Alberto;Estella Goytre;Leg. Const.;14/07/1977;23/03/1979;N
Alberto;Estella Goytre;Leg. I;23/03/1979;18/11/1982;N
María Ángeles;Esteller Ruedas;Leg. X;13/12/2011;13/01/2016;N
María Ángeles;Esteller Ruedas;Leg. XII;19/07/2016;21/05/2019;N
Juan Tomás;Esteo Palomo;Leg. IV;21/11/1989;29/06/1993;N
Juan Tomás;Esteo Palomo;Leg. V;29/06/1993;27/03/1996;N
María Teresa;Estevan Bolea;Leg. III;15/07/1986;21/11/1989;N
María Teresa;Estevan Bolea;Leg. IV;21/11/1989;29/06/1993;N
Héctor;Esteve Ferrer;Leg. VII;05/04/2000;02/04/2004;N
Héctor;Esteve Ferrer;Leg. VIII;02/04/2004;01/04/2008;N
Esperança;Esteve Ortega;Leg. VIII;02/04/2004;01/04/2008;N
Esperança;Esteve Ortega;Leg. IX;01/04/2008;13/12/2011;N
Esperança;Esteve Ortega;Leg. X;13/12/2011;13/01/2016;N
Xerardo Denis Felipe;Estévez Fernández;Leg. V;29/06/1993;27/03/1996;N
Marta;Estrada Ibars;Leg. IX;01/04/2008;13/12/2011;N
José Luis;Estrada Sánchez;Leg. II;18/11/1982;15/07/1986;N
Rafael;Estrella Pedrola;Leg. V;29/06/1993;27/03/1996;N
Rafael;Estrella Pedrola;Leg. VI;27/03/1996;05/04/2000;N
Rafael;Estrella Pedrola;Leg. VII;05/04/2000;02/04/2004;N
Rafael;Estrella Pedrola;Leg. VIII;02/04/2004;01/04/2008;N
Etna;Estrems Fayos;Leg. XV;17/08/2023;;S
Mª Luisa;Expósito Molina;Leg. VII;05/04/2000;02/04/2004;N
